*** Booting nRF Connect SDK v2.7.0-5cb85570ca43 ***
*** Using Zephyr OS v3.6.99-100befc70c74 ***
[00:00:03.004,241] <inf> core_boot: --- USB CONNECTED. BOOTING SUBSYSTEMS ---
[00:00:03.004,241] <inf> dmic_nrfx_pdm: PDM clock frequency: 1280000, actual PCM rate: 16000
[00:00:03.004,241] <inf> core_boot: Initializing ML...

[ML] Initializing TFLM Interpreter...
[ML] step 1 init complete
[ML] step 2 init complete
[ML] step 3 init complete
[ML] Arena size allocated: 118784 bytes
[ML] Arena bytes actually used: 110628 bytes
[ML] step 4 init complete
[ML] Model expects input_tensor->bytes = 1287 (firmware assumes 1287)
[00:00:07.034,729] <inf> ml_ctrl: [ML] TFLM Interpreter Initialized. Arena Size: 118784 bytes
[00:00:07.034,729] <inf> core_boot: ML Init Complete!

[00:00:07.036,163] <inf> mic_ctrl: [MIC] Hardware DMA Triggered. Pipeline Active.
[00:00:07.036,224] <inf> core_boot: System Ready. ML Inference Auto-Started.
> snapshot
snapshot

[SYSTEM] --> ML SNAPSHOT REQUESTED

[SNAPSHOT] Get ready to speak your keyword...
[SNAPSHOT] 3...
[SNAPSHOT] 2...
[SNAPSHOT] 1...
[SNAPSHOT] >>> SPEAK NOW <<<
[SNAPSHOT] Capture complete: 32000 samples (2000 ms)
[SNAPSHOT] --- BEGIN PCM ---
PCM,44,43,41,41,40,40,43,40,42,41,38,40,40,41,40,38
PCM,40,39,43,40,40,38,39,40,42,44,42,43,43,42,44,43
PCM,43,42,42,41,39,41,42,43,42,40,40,41,41,42,43,42
PCM,42,41,41,41,44,42,42,42,41,40,41,40,39,40,39,40
PCM,38,37,37,38,41,38,37,38,36,35,34,34,35,34,35,33
PCM,33,34,35,35,37,35,34,35,32,32,33,29,29,27,30,27
PCM,28,27,28,27,25,30,28,30,30,31,34,35,35,34,34,36
PCM,35,36,36,36,35,35,35,34,33,34,35,35,33,33,33,33
PCM,33,29,30,30,30,32,30,32,30,32,29,31,33,33,32,30
PCM,33,30,30,28,32,34,31,31,28,28,27,29,28,26,24,21
PCM,27,26,25,23,26,27,29,27,29,28,27,29,29,32,32,31
PCM,33,34,34,35,35,36,36,36,35,36,38,37,35,35,33,34
PCM,35,34,35,34,34,33,31,30,29,30,30,30,30,28,27,28
PCM,27,28,26,24,24,25,27,28,26,26,26,26,26,25,27,25
PCM,28,29,27,28,27,27,29,27,27,30,28,28,29,29,28,30
PCM,29,29,28,29,32,31,29,30,31,34,34,34,33,34,32,33
PCM,31,31,34,34,33,32,33,36,37,37,38,38,40,40,39,40
PCM,41,40,43,43,41,42,42,41,42,41,41,40,40,40,40,41
PCM,42,41,39,40,37,41,43,42,40,42,40,39,38,38,40,40
PCM,38,37,37,38,38,38,39,37,38,40,39,41,39,39,40,38
PCM,36,37,39,36,37,36,36,36,34,34,33,35,37,35,38,36
PCM,37,32,36,35,36,34,32,32,33,34,33,31,32,32,31,31
PCM,30,32,32,32,32,32,33,35,35,34,33,33,32,33,33,31
PCM,33,30,35,36,35,36,36,39,37,40,41,40,42,42,42,41
PCM,44,44,44,48,45,45,43,44,46,44,44,44,45,46,45,45
PCM,42,41,44,44,45,44,45,45,44,42,40,40,40,40,41,42
PCM,44,43,40,42,45,45,41,42,42,42,41,42,43,42,42,41
PCM,44,45,47,45,46,44,42,39,41,42,42,42,40,42,41,43
PCM,43,44,42,42,40,43,44,41,41,41,43,43,43,43,45,45
PCM,45,43,45,46,46,46,45,44,44,44,43,44,42,40,40,40
PCM,40,39,40,37,37,37,37,37,37,37,38,37,38,38,39,37
PCM,34,36,37,37,36,39,41,38,38,39,38,40,40,43,41,43
PCM,42,42,46,42,46,46,45,44,45,47,46,47,48,49,48,47
PCM,49,47,48,46,47,47,49,47,47,48,47,45,47,49,48,47
PCM,47,46,46,44,44,43,45,42,44,45,44,46,45,45,42,43
PCM,43,42,42,42,44,42,40,43,43,44,43,42,42,40,41,40
PCM,40,43,42,42,45,43,46,46,45,44,41,40,41,41,43,43
PCM,41,38,40,37,37,36,35,36,34,34,35,34,34,33,34,33
PCM,33,33,32,31,32,33,30,32,33,31,30,30,30,29,30,31
PCM,31,30,29,29,31,33,32,33,34,33,33,32,34,35,37,35
PCM,36,35,36,38,38,39,38,39,38,39,39,38,41,40,40,40
PCM,41,41,41,39,40,41,44,43,44,44,42,42,42,42,42,42
PCM,43,41,42,41,42,41,40,42,42,39,40,40,41,39,39,37
PCM,36,37,34,35,35,32,29,33,34,35,35,37,36,33,34,35
PCM,35,34,34,35,34,34,34,32,31,30,29,32,30,30,30,30
PCM,30,30,29,26,29,31,30,30,30,31,31,32,32,32,33,34
PCM,34,34,35,34,34,33,34,36,38,35,34,33,29,33,31,34
PCM,33,31,28,27,30,28,26,29,28,29,28,29,28,29,29,28
PCM,29,31,29,29,30,32,32,28,29,29,29,31,31,32,34,35
PCM,34,34,34,35,34,35,34,35,36,35,37,35,36,37,38,38
PCM,40,39,40,40,38,39,38,39,38,38,39,41,39,40,41,41
PCM,40,40,40,41,41,40,38,40,41,42,41,41,44,44,41,42
PCM,42,42,43,42,44,43,44,44,45,47,46,44,43,44,45,45
PCM,45,42,44,45,45,45,45,46,43,44,44,45,44,43,42,44
PCM,42,44,42,44,43,42,42,41,42,42,42,42,43,42,41,40
PCM,39,41,42,42,43,40,40,42,42,42,41,38,38,39,40,42
PCM,41,41,40,39,39,41,42,40,40,37,39,38,39,37,36,38
PCM,36,38,38,36,35,35,37,37,36,39,39,37,39,37,39,39
